length,digits,special_chars,has_url,https,num_dots,num_slashes,num_at,num_hyphen,num_equals,num_question,suspicious_words,shortener,ip_like,label
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,3,1,1,2,2,0,0,0,0,0,0,0,0
31,2,8,1,1,3,2,0,1,0,0,0,0,0,0
45,4,12,1,0,5,3,0,2,1,1,3,1,0,1
52,8,15,1,0,4,4,1,3,2,1,5,1,1,1
28,1,4,1,1,2,2,0,0,0,0,0,0,0,0
39,6,10,1,0,4,3,0,2,2,1,4,0,1,1
20,0,2,0,0,0,0,0,0,0,0,0,0,0,0
33,3,6,1,1,2,2,0,1,0,0,1,0,0,0
48,7,14,1,0,5,4,1,3,2,1,6,1,1,1
27,0,3,1,1,2,2,0,0,0,0,0,0,0,0
41,5,11,1,0,4,3,0,2,1,1,3,1,0,1
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,7,1,1,3,2,0,1,0,0,1,0,0,0
55,9,17,1,0,5,5,1,4,2,1,7,1,1,1
